Warning 2020-01-21 11:44:05:0628  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Warning 2020-01-21 13:43:56:0584  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 13:43:56:0585  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[53535], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 13:43:56:0957  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 13:43:56:0970  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 13:43:57:0079  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[4160]     Solution:
Info    2020-01-21 13:43:57:0079  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[6968]     Solution:
Info    2020-01-21 13:57:02:0460  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
Info    2020-01-21 13:57:02:0460  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[23565], AppGetCountSucceed[23565], NetRecv[23568], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[2], LostPackets[0]     Solution:
Info    2020-01-21 13:57:02:0483  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[23565], AppGetCountSucceed[23565], NetRecv[23568], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[2], LostPackets[0]     Solution:
Info    2020-01-21 13:57:02:0485  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L4662)     Description:SetTransmissionType[0x0], nRet[0x0], GvspSendIp[0xc0a80117], GvspSendPort[53535], HostIp[0xc0a80117], HostPort[53535]     Solution:
Info    2020-01-21 13:57:02:0485  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1080)     Description:Disconnect device     Solution:
Info    2020-01-21 13:57:02:0499  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[23565], AppGetCountSucceed[23565], NetRecv[23568], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[2], LostPackets[0]     Solution:
Info    2020-01-21 13:57:02:0538  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0601)     Description:[socket] NearBID[0], LastBID[0], output[0]     Solution:
Warning 2020-01-21 13:59:38:0747  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 13:59:38:0748  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[59692], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 13:59:39:0129  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 13:59:39:0141  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 13:59:39:0251  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[7024]     Solution:
Info    2020-01-21 13:59:39:0252  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[3992]     Solution:
Info    2020-01-21 14:00:52:0170  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
Info    2020-01-21 14:00:52:0170  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[2183], AppGetCountSucceed[2183], NetRecv[2185], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[1], LostPackets[0]     Solution:
Info    2020-01-21 14:00:52:0193  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[2183], AppGetCountSucceed[2183], NetRecv[2185], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[1], LostPackets[0]     Solution:
Info    2020-01-21 14:00:52:0195  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L4662)     Description:SetTransmissionType[0x0], nRet[0x0], GvspSendIp[0xc0a80117], GvspSendPort[59692], HostIp[0xc0a80117], HostPort[59692]     Solution:
Info    2020-01-21 14:00:52:0195  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1080)     Description:Disconnect device     Solution:
Info    2020-01-21 14:00:52:0209  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[2183], AppGetCountSucceed[2183], NetRecv[2185], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[1], LostPackets[0]     Solution:
Info    2020-01-21 14:00:52:0473  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0601)     Description:[socket] NearBID[0], LastBID[0], output[0]     Solution:
Warning 2020-01-21 14:01:42:0974  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
